kata_kunci,sinonim
statistika,"peluang, distribusi, peubah_acak, variansi, hipotesis, data, regresi, anova, inferensi"
peluang,"probabilitas, kombinatorika, permutasi, acak, stokastik"
aljabar,"matriks, vektor, linear, persamaan, ruang_vektor, eigen, transformasi, skalar"
kalkulus,"turunan, integral, limit, diferensial, peubah, multivariabel, fungsi, kontinu"
geometri,"ruang, bangun, dimensi, sudut, trigonometri, titik, garis, kurva"
matematika_diskrit,"himpunan, graf, logika, kombinatorik, pohon, algoritma_diskrit"
optimasi,"maksimasi, minimasi, program_linear, simplex, metaheuristik, kendala"
topologi,"ruang_topologi, metrik, kekontinuan, himpunan_terbuka, kompak"
kriptografi,"enkripsi, dekripsi, sandi, keamanan_data, cipher, rsa, rahasia"
analisis_numerik,"hampiran, iterasi, galat, interpolasi, metode_numerik, komputasi_matematika"
statistika_multivariat,"pca, analisis_faktor, diskriminan, klaster, manova, multivariabel"
riset_operasi,"antrian, simulasi, optimasi_sistem, pemodelan_sistem, markov"
persamaan_diferensial,"pd_biasa, pd_parsial, nilai_awal, syarat_batas, orde"
machine_learning,"ai, kecerdasan_buatan, klasifikasi, prediksi, neural_network, deep_learning, clustering"
data_mining,"preprocessing, clustering, klasifikasi, ekstraksi, big_data, pola, asosiasi"
pemrograman,"coding, kode, sintaks, python, c++, java, web, developer, aplikasi"
basis_data,"database, sql, nosql, query, relasional, erd, normalisasi, server_data"
kecerdasan_buatan,"ai, sistem_pakar, logika_fuzzy, nlp, visi_komputer, robotika, agen_cerdas"
jaringan_komputer,"tcp_ip, routing, internet, nirkabel, protokol, server, bandwidth, lan, wan"
keamanan_siber,"kriptografi, hacker, malware, firewall, enkripsi, privasi, forensik, pentest"
rekayasa_perangkat_lunak,"rpl, agile, scrum, sdlc, testing, uml, desain_sistem, arsitektur_software"
sistem_operasi,"os, linux, windows, kernel, thread, memori, sinkronisasi, deadlock"
cloud_computing,"komputasi_awan, aws, azure, docker, kubernetes, virtualisasi, hosting"
iot,"internet_of_things, sensor, aktuator, mikrokontroler, arduino, smart_home"
visi_komputer,"pengolahan_citra, deteksi_objek, segmentasi, piksel, kamera, image_processing"
nlp,"pemrosesan_bahasa_alami, teks, chatbot, terjemahan, sentimen"
struktur_data,"array, linked_list, stack, queue, tree, graph, hash"
algoritma,"sorting, searching, kompleksitas, big_o, rekursif, dinamis"
mekanika,"statika, dinamika, kinematika, gaya, torsi, momentum, energi, gerak"
termodinamika,"kalor, suhu, entropi, entalpi, mesin_kalor, gas_ideal, perpindahan_panas"
kuantum,"foton, planck, schrodinger, partikel, gelombang, atom, ketidakpastian"
elektromagnetik,"listrik, magnet, tegangan, arus, sirkuit, maxwell, induksi"
optik,"cahaya, lensa, cermin, difraksi, interferensi, refraksi, fotonika"
astrofisika,"bintang, galaksi, alam_semesta, gravitasi, lubang_hitam, eksoplanet"
geofisika,"seismik, gravitasi, magnetik, eksplorasi, struktur_bumi, gempa"
astronomi,"observasi, teleskop, langit, konstelasi, tata_surya, planet"
tata_surya,"matahari, planet, bulan, asteroid, komet, meteor"
kosmologi,"big_bang, pembentukan_alam_semesta, dark_matter, dark_energy, ruang_waktu"
fisika_material,"polimer, keramik, komposit, nanomaterial, kristal, semikonduktor"
fisika_inti,"radioaktivitas, reaktor, fusi, fisi, radiasi, isotop"
fluida,"cairan, gas, viskositas, aerodinamika, hidrostatika, bernoulli"
energi_terbarukan,"solar, angin, panas_bumi, geothermal, biomassa, lingkungan, surya, hidro"
manufaktur,"cnc, pemesinan, pengecoran, pengelasan, fabrikasi, produksi, pabrik"
ergonomi,"k3, keselamatan_kerja, postur, biomekanika, lingkungan_kerja, human_factor"
rantai_pasok,"supply_chain, logistik, inventori, gudang, transportasi, distribusi"
robotika,"otomasi, mekatronika, sensor, aktuator, kontrol_otomatis, ai_robot"
elektronika,"semikonduktor, transistor, pcb, sirkuit_digital, sirkuit_analog, mikrokontroler"
telekomunikasi,"sinyal, modulasi, antena, serat_optik, seluler, transmisi, jaringan_komunikasi"
teknik_sipil,"beton, baja, struktur, jembatan, jalan, konstruksi, bangunan"
arsitektur,"bangunan, tata_ruang, fasad, interior, lanskap, urban_design, estetika_bangunan"
material,"logam, komposit, korosi, kekuatan_bahan, tegangan_regangan"
mekatronika,"integrasi_sistem, mesin, elektronik, kontrol, otomatisasi"
hidrologi,"air, sungai, banjir, drainase, curah_hujan, siklus_air"
geoteknik,"tanah, fondasi, longsor, mekanika_tanah, batuan"
kimia_organik,"karbon, hidrokarbon, sintesis, gugus_fungsi, reaksi_organik, polimerisasi"
kimia_analitik,"titrasi, spektroskopi, kromatografi, pemisahan, instrumen_kimia, kuantitatif"
biokimia,"enzim, protein, metabolisme, karbohidrat, lipid, dna, rna"
polimer,"makromolekul, plastik, karet, sintetik, material_cerdas"
termodinamika_kimia,"entalpi_reaksi, energi_bebas, kesetimbangan_kimia, fasa"
biologi,"sel, genetika, evolusi, ekosistem, makhluk_hidup, organisme"
genetika,"dna, kromosom, mutasi, pewarisan_sifat, rekayasa_genetika, genom"
mikrobiologi,"bakteri, virus, jamur, patogen, mikroskopis, kultur"
ekologi,"lingkungan, habitat, populasi, rantai_makanan, keanekaragaman_hayati"
anatomi,"organ, jaringan, kerangka, otot, tubuh, fisiologi"
farmasi,"obat, apotek, resep, klinis, medis, penyembuhan, terapi"
farmakologi,"efek_obat, dosis, toksikologi, farmakokinetik, farmakodinamik"
botani,"tumbuhan, tanaman, fotosintesis, flora, vegetasi"
zoologi,"hewan, fauna, vertebrata, invertebrata, perilaku_hewan"
lingkungan,"ekosistem, polusi, limbah, iklim, pemanasan_global, amdal, hijau"
geologi,"batuan, mineral, tektonik, bumi, sedimen, stratigrafi, fosil"
meteorologi,"cuaca, iklim, atmosfer, hujan, awan, angin, prakiraan_cuaca"
oseanografi,"laut, gelombang, arus_laut, pesisir, terumbu_karang, pasang_surut"
mitigasi_bencana,"bencana, gempa, tsunami, banjir, evakuasi, risiko_bencana, penanggulangan"
konservasi,"perlindungan, pelestarian, satwa_liar, taman_nasional, hutan"
polusi,"pencemaran, limbah_cair, udara, tanah, emisi, toksik"
klimatologi,"perubahan_iklim, suhu_global, el_nino, la_nina, cuaca_ekstrem"
vulkanologi,"gunung_api, magma, lava, erupsi, kawah, vulkanik"
ekonomi,"mikroekonomi, makroekonomi, moneter, inflasi, pasar, permintaan, penawaran"
akuntansi,"pembukuan, laporan_keuangan, audit, pajak, neraca, laba_rugi, biaya"
manajemen,"strategi, sdm, operasional, pemasaran, organisasi, kepemimpinan, risiko"
kewirausahaan,"bisnis, startup, inovasi, produk, pasar, modal, ventura, kelayakan"
pemasaran,"konsumen, branding, promosi, iklan, penjualan, riset_pasar, digital_marketing"
keuangan,"investasi, saham, obligasi, perbankan, portofolio, risiko_keuangan"
investasi,"saham, reksa_dana, pasar_modal, return, risiko, dividen, trading"
sumber_daya_manusia,"rekrutmen, pelatihan, kinerja, kompensasi, karyawan, personalia"
strategi_bisnis,"visi, misi, keunggulan_kompetitif, analisis_swot, model_bisnis"
makroekonomi,"pertumbuhan_ekonomi, pdb, pengangguran, kebijakan_fiskal, ekspor_impor"
komunikasi,"presentasi, retorika, persuasi, interpersonal, publik, lisan, tulisan, verbal"
jurnalisme,"berita, peliputan, media, artikel, wawancara, opini, reportase, redaksi"
sastra,"puisi, cerpen, novel, fiksi, narasi, imajinasi, prosa, drama, teks"
desain,"visual, grafis, tipografi, estetika, warna, komposisi, ui, ux"
seni,"rupa, musik, tari, teater, lukis, patung, kriya, kontemporer"
sejarah,"masa_lalu, peradaban, kuno, modern, kolonial, revolusi, arsip, peninggalan"
filsafat,"logika, etika, epistemologi, ontologi, moral, pemikiran, eksistensialisme"
hukum,"perdata, pidana, tata_negara, internasional, konstitusi, regulasi, undang_undang"
sosiologi,"masyarakat, interaksi, budaya, kelas_sosial, institusi, urban, demografi"
psikologi,"kognitif, klinis, perkembangan, sosial, perilaku, mental, emosi, terapi"
pancasila,"ideologi, dasar_negara, uud_1945, bhinneka_tunggal_ika, nkri"
kewarganegaraan,"kewajiban_warga_negara, hak_asasi, demokrasi, politik, identitas_nasional"
bahasa_inggris,"grammar, reading, writing, listening, speaking, toefl, ielts, vocabulary"
bahasa_indonesia,"ejaan, tata_bahasa, paragraf, esai, karya_tulis_ilmiah, eyd"
